Name,Year,Latitude,Longitude,City,Country,Cuisine,Price,URL
Sushi Ginza Onodera,2019,34.08238,-118.37654,Los Angeles,United States,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/sushi-ginza-onodera559850
Urasawa,2019,34.067352,-118.40067,Los Angeles,United States,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/urasawa
Vespertine,2019,34.024204,-118.38166,Los Angeles,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/vespertine
Aquavit,2019,40.76078,-73.97214,New York,United States,Scandinavian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aquavit
Aska,2019,40.71222,-73.96642,New York,United States,Scandinavian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aska
Atera,2019,40.716797,-74.00565,New York,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atera
Blanca,2019,40.70492,-73.93354,New York,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blanca
Daniel,2019,40.7666,-73.96745,New York,United States,French,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/daniel
Gabriel Kreuther,2019,40.75397,-73.982025,New York,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gabriel-kreuther
Ichimura at Uch?,2019,40.721832,-73.99012,New York,United States,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ichimura-at-uchu
Jean-Georges,2019,40.76907,-73.98155,New York,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jean-georges
Jungsik,2019,40.718685,-74.00911,New York,United States,Korean,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jungsik
Ko,2019,40.72909,-73.98448,New York,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ko
L'Atelier de Joël Robuchon,2019,40.742905,-74.00769,New York,United States,French,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l-atelier-de-joel-robuchon562505
Marea,2019,40.76749,-73.98114,New York,United States,Seafood,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/marea
Sushi Ginza Onodera,2019,40.752396,-73.981575,New York,United States,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-ginza-onodera
The Modern,2019,40.76106,-73.97628,New York,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-modern
Acquerello,2019,37.79167,-122.42131,San Francisco,United States,Italian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello
Baumé,2019,37.4285,-122.14272,San Francisco,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/baume
Californios,2019,37.75555,-122.417145,San Francisco,United States,Mexican,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/californios
Campton Place,2019,37.78923,-122.40665,San Francisco,United States,Indian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/campton-place
Coi,2019,37.79812,-122.40331,San Francisco,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/coi
Commis,2019,37.82476,-122.25505,San Francisco,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commis
Lazy Bear,2019,37.760204,-122.41969,San Francisco,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lazy-bear
Saison,2019,37.76327,-122.41543,San Francisco,United States,American,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/saison
minibar,2019,38.896294,-77.02386,Washington,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/minibar
Pineapple and Pearls,2019,38.880707,-76.99514,Washington,United States,Contemporary,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/pineapple-and-pearls
